cultivar	At_Dt_unannotate	At_Dt_same	At_Dt_diff	only_At	only_Dt
P11	390	15	79	128	148
ZY238	321	21	134	137	147
P14	398	23	104	117	118
P08	348	14	91	170	137
ZY381	446	14	57	115	128
P10	465	8	53	114	120
ZY461	458	12	68	112	110
XJ74	434	17	70	127	112
ZY354	401	12	73	136	138
ZY384	444	12	70	102	132
ZY184	444	13	53	114	136
HC05	435	5	62	131	127
HC03	433	8	62	147	110
P23	441	14	73	108	124
HC02	455	14	51	113	127
HC01	419	16	66	140	119
P17	443	13	77	110	117
P22	422	14	79	121	124
P16	435	9	57	108	151
XZ142	428	12	66	122	132
HC07	442	13	70	114	121
HC11	450	7	59	110	134
HC06	438	12	58	133	119
ZY236	490	12	43	91	124
HC08	443	12	61	121	123
ZY006	470	9	49	105	127
P20	452	5	65	117	121
HC12	444	8	55	125	128
HC15	409	8	71	132	140
P25	459	6	61	111	123
P18	476	6	74	80	124
P15	445	8	71	109	127
P24	456	10	59	90	145
P09	456	16	53	110	125
ZY10	466	7	70	112	105
P19	460	9	63	111	117
