P11	0.18	0.15	0.04	0.15	0.19	0.09	0.11	0.09
ZY238	0.21	0.18	0.05	0.13	0.15	0.04	0.12	0.12
P14	0.19	0.12	0.05	0.12	0.21	0.1	0.11	0.1
P08	0.2	0.12	0.05	0.12	0.18	0.08	0.11	0.14
ZY381	0.18	0.13	0.05	0.17	0.18	0.02	0.1	0.17
P10	0.22	0.11	0.05	0.15	0.17	0.07	0.08	0.15
ZY461	0.19	0.15	0.06	0.13	0.16	0.04	0.1	0.18
XJ74	0.17	0.18	0.06	0.15	0.15	0.04	0.1	0.16
ZY354	0.18	0.18	0.06	0.15	0.12	0.03	0.11	0.16
ZY384	0.2	0.17	0.06	0.16	0.12	0.03	0.1	0.16
ZY184	0.19	0.16	0.05	0.16	0.14	0.03	0.1	0.18
HC05	0.19	0.12	0.07	0.15	0.18	0.06	0.12	0.1
HC03	0.18	0.13	0.07	0.13	0.18	0.07	0.1	0.14
P23	0.2	0.15	0.06	0.13	0.19	0.05	0.09	0.13
HC02	0.18	0.16	0.05	0.14	0.18	0.07	0.11	0.12
HC01	0.19	0.14	0.06	0.12	0.18	0.07	0.11	0.14
P17	0.23	0.15	0.07	0.13	0.17	0.08	0.08	0.1
P22	0.21	0.14	0.06	0.11	0.15	0.08	0.12	0.13
P16	0.18	0.16	0.04	0.15	0.17	0.06	0.12	0.12
XZ142	0.21	0.12	0.08	0.15	0.14	0.03	0.12	0.15
HC07	0.19	0.12	0.09	0.13	0.18	0.05	0.11	0.13
HC11	0.18	0.14	0.06	0.14	0.17	0.04	0.13	0.14
HC06	0.18	0.14	0.05	0.15	0.16	0.04	0.1	0.17
ZY236	0.2	0.13	0.1	0.17	0.12	0.03	0.12	0.13
HC08	0.21	0.1	0.06	0.15	0.16	0.05	0.11	0.17
ZY006	0.21	0.13	0.08	0.16	0.12	0.02	0.1	0.19
P20	0.22	0.14	0.06	0.14	0.12	0.03	0.09	0.2
HC12	0.21	0.11	0.07	0.16	0.17	0.05	0.12	0.11
HC15	0.22	0.12	0.09	0.16	0.13	0.03	0.11	0.16
P25	0.2	0.11	0.05	0.16	0.15	0.06	0.1	0.17
P18	0.22	0.13	0.06	0.13	0.17	0.06	0.11	0.13
P15	0.22	0.12	0.05	0.15	0.17	0.04	0.09	0.16
P24	0.25	0.11	0.06	0.16	0.13	0.05	0.09	0.15
P09	0.21	0.1	0.06	0.17	0.13	0.06	0.09	0.18
ZY10	0.21	0.15	0.06	0.15	0.11	0.03	0.11	0.18
P19	0.21	0.15	0.05	0.16	0.13	0.01	0.1	0.18
