Chr	Start	End	Ghlatifolium	Ghmariegalante	Ghmorrilli	Ghpalmeri	Ghpunctatum	Ghpurpurascen	Ghrichmondi	Ghyucatanense	windowClass
HC04_A01	0	1000000	12	2	0	16	6	0	0	0	At_specific
HC04_A01	6000000	7000000	9	10	0	5	1	0	0	5	At_specific
HC04_A01	11000000	12000000	0	0	0	0	0	0	10	0	At_specific
HC04_A01	17000000	18000000	8	0	0	0	17	0	8	0	At_specific
HC04_A01	21000000	22000000	0	0	22	0	0	0	0	0	At_specific
HC04_A01	26000000	27000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	29000000	30000000	0	0	1	0	4	0	0	0	At_specific
HC04_A01	30000000	31000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	31000000	32000000	0	0	0	0	1	0	0	0	At_specific
HC04_A01	43000000	44000000	0	16	0	0	0	0	3	0	At_specific
HC04_A01	45000000	46000000	3	0	0	0	0	0	0	0	At_specific
HC04_A01	46000000	47000000	3	1	0	0	0	0	0	0	At_specific
HC04_A01	47000000	48000000	3	0	0	0	0	0	0	0	At_specific
HC04_A01	48000000	49000000	3	0	0	0	0	0	0	0	At_specific
HC04_A01	51000000	52000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	52000000	53000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	55000000	56000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	57000000	58000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	58000000	59000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	59000000	60000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	60000000	61000000	0	0	0	1	0	0	0	0	At_specific
HC04_A01	61000000	62000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	63000000	64000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	65000000	66000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	66000000	67000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	67000000	68000000	0	0	0	1	0	0	1	0	At_specific
HC04_A01	68000000	69000000	0	1	0	0	0	0	0	1	At_specific
HC04_A01	69000000	70000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	70000000	71000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	72000000	73000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	74000000	75000000	0	0	0	0	1	0	0	1	At_specific
HC04_A01	76000000	77000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	77000000	78000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	78000000	79000000	0	0	0	0	0	0	0	1	At_specific
HC04_A01	80000000	81000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	81000000	82000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	82000000	83000000	0	1	0	0	0	0	0	0	At_specific
HC04_A01	94000000	95000000	0	2	0	10	0	0	0	0	At_specific
HC04_A01	95000000	96000000	0	12	0	0	1	0	0	0	At_specific
HC04_A01	97000000	98000000	3	0	0	0	1	0	9	0	At_specific
HC04_A01	99000000	100000000	3	0	0	0	7	0	0	3	At_specific
HC04_A01	100000000	101000000	12	0	0	0	1	0	0	0	At_specific
HC04_A01	101000000	102000000	0	0	0	1	0	0	0	12	At_specific
HC04_A01	105000000	106000000	2	5	0	1	0	0	2	11	At_specific
HC04_A01	110000000	111000000	0	0	0	1	1	0	0	1	At_specific
HC04_A01	113000000	114000000	0	1	0	0	0	1	0	3	At_specific
HC04_A01	117000000	118000000	12	2	0	0	0	5	3	10	At_specific
HC04_A02	0	1000000	0	0	0	2	14	0	7	1	At_specific
HC04_A02	10000000	11000000	8	13	0	0	4	0	0	0	At_specific
HC04_A02	37000000	38000000	0	6	0	4	0	0	3	0	At_specific
HC04_A02	44000000	45000000	0	0	0	0	0	4	0	0	At_specific
HC04_A02	45000000	46000000	0	0	0	0	0	0	4	0	At_specific
HC04_A02	47000000	48000000	0	0	0	0	0	4	0	0	At_specific
HC04_A02	48000000	49000000	0	0	0	0	0	4	0	0	At_specific
HC04_A02	49000000	50000000	0	0	0	0	1	0	0	3	At_specific
HC04_A02	50000000	51000000	0	0	0	0	0	1	3	0	At_specific
HC04_A02	51000000	52000000	0	0	0	0	0	3	0	0	At_specific
HC04_A02	53000000	54000000	0	0	0	0	0	3	0	1	At_specific
HC04_A02	54000000	55000000	0	0	0	0	0	0	0	4	At_specific
HC04_A02	55000000	56000000	0	11	0	0	0	2	2	0	At_specific
HC04_A02	56000000	57000000	0	0	0	0	0	4	0	0	At_specific
HC04_A02	57000000	58000000	0	0	0	0	1	2	0	1	At_specific
HC04_A02	60000000	61000000	0	2	0	0	0	0	1	1	At_specific
HC04_A02	62000000	63000000	0	11	0	0	0	0	15	0	At_specific
HC04_A02	64000000	65000000	0	16	0	0	4	5	1	0	At_specific
HC04_A02	93000000	94000000	0	9	0	0	0	0	0	0	At_specific
HC04_A02	97000000	98000000	1	0	0	0	0	0	0	0	At_specific
HC04_A02	101000000	102000000	3	15	2	1	2	0	0	0	At_specific
HC04_A03	7000000	8000000	4	0	0	2	0	0	0	0	At_specific
