queryChr	queryStart	queryEnd	MatchChr	MatchStart	MatchEnd	targetChr	targetStart	targetEnd	MatchCount	Stand
A01	9378355	9578355	A01	9378355	9578355	A01	9699257	9899353	199299	++
A02	106791274	106991274	A02	106791274	106991274	A02	1111636	1311876	199901	+-
A02	63914465	64114465	A02	63914465	64114465	A02	44962263	45255313	186207	+-
A02	93152109	93352109	A02	93152109	93352109	A02	14760611	14978798	194331	+-
A02	99136676	99336676	A02	99136676	99336676	A02	8813584	9013713	199851	+-
A03	105165887	105365887	A03	105165887	105365887	A03	105471732	105671812	199869	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	108381880	108581880	A03	108381880	108581880	A03	108717898	108918056	199902	++
A03	18918679	19118679	A03	18918679	19118679	A03	18875528	19075565	199976	++
A04	4515766	4715766	A04	4515766	4715766	A04	4019365	4220730	193535	++
A04	5862621	6062621	A04	5862621	6062621	A04	5712716	5913044	199661	++
A04	82263439	82463439	A04	82263439	82463439	A04	86272866	86472938	199916	++
A05	1057873	1257873	A05	1057873	1257873	A05	1038861	1239091	199887	++
A05	14915639	15115639	A05	14915639	15115639	A05	14973032	15173081	199925	++
A05	16390428	16590428	A05	16390428	16590428	A05	16449290	16641066	191407	++
A05	21120369	21320369	A05	21120369	21320369	A05	21177207	21377267	199853	++
A05	25637916	25837916	A05	25637916	25837916	A05	26547817	26741971	193658	++
A05	9867445	10067445	A05	9867445	10067445	A05	9907571	10107777	199445	++
A05	9867708	10067708	A05	9867708	10067708	A05	9907834	10108040	199445	++
A06	117789078	117989078	A06	117789078	117989078	A06	6123821	6324084	199275	+-
A06	1321815	1521815	A06	1321815	1521815	A06	126701414	126901568	199804	+-
A06	22227350	22427350	A06	22227350	22427350	A06	105805381	106005529	199776	+-
A06	959549	1159549	A06	959549	1159549	A06	127041677	127241815	199900	+-
A07	1206017	1406017	A07	1206017	1406017	A07	1185847	1387219	199888	++
A07	15381850	15581850	A07	15381850	15581850	A07	15400681	15596484	193791	++
A07	15381850	15581850	A07	15381850	15581850	A07	15400681	15596484	193791	++
A07	15381850	15581850	A07	15381850	15581850	A07	15400681	15596484	193791	++
A07	15381850	15581850	A07	15381850	15581850	A07	15400681	15596484	193791	++
A07	2022501	2222501	A07	2022501	2222501	A07	2003908	2182857	178184	++
A07	89713288	89913288	A07	89713288	89913288	A07	90499686	90699534	199262	++
A07	90012869	90212869	A07	90012869	90212869	A07	90799172	90998638	198764	++
A07	90013458	90213458	A07	90013458	90213458	A07	90799761	90999227	198764	++
A07	9017700	9217700	A07	9017700	9217700	A07	8929539	9129633	199944	++
A07	91158349	91358349	A07	91158349	91358349	A07	92316786	92498484	178629	++
A07	91238942	91438942	A07	91238942	91438942	A07	92386819	92578244	188875	++
A07	91238942	91438942	A07	91238942	91438942	A07	92386819	92578244	188875	++
A07	91238942	91438942	A07	91238942	91438942	A07	92386819	92578244	188875	++
A07	91238942	91438942	A07	91238942	91438942	A07	92386819	92578244	188875	++
A07	91336628	91536628	A07	91336628	91536628	A07	92476735	92676072	198199	++
A07	91352656	91552656	A07	91352656	91552656	A07	92492791	92692094	198156	++
A07	91380931	91580931	A07	91380931	91558622	A07	92521081	92698006	175828	++
A07	91380931	91580931	A07	91380931	91558622	A07	92521081	92698006	175828	++
A07	91380931	91580931	A07	91380931	91558622	A07	92521081	92698006	175828	++
A07	91380931	91580931	A07	91380931	91558622	A07	92521081	92698006	175828	++
A07	91380931	91580931	A07	91395440	91558622	A07	92535591	92698006	161380	++
A07	91380931	91580931	A07	91395440	91558622	A07	92535591	92698006	161380	++
A07	91395440	91595440	A07	91395440	91558622	A07	92535591	92698006	161380	++
A07	94475024	94675024	A07	94475024	94675024	A07	95559242	95761199	196266	++
A07	983025	1183025	A07	983025	1183025	A07	962681	1162846	199893	++
A08	109275437	109475437	A08	109275437	109475437	A08	13131205	13331321	199855	+-
A08	116670867	116870867	A08	116670867	116870867	A08	5864200	6081622	198592	+-
A08	116965046	117165046	A08	116965046	117165046	A08	5561423	5769997	194249	+-
A08	119913137	120113137	A08	119913137	120113137	A08	2595087	2795187	199822	+-
A08	120048112	120248112	A08	120048112	120248112	A08	2460072	2660164	199703	+-
A08	120053659	120253659	A08	120053659	120253659	A08	2454524	2654600	199706	+-
A08	120920311	121120311	A08	120920311	121120311	A08	1590343	1790459	199761	+-
A08	2242351	2442351	A08	2242351	2442351	A08	123984183	124184756	199260	+-
A08	77334139	77534139	A08	77334139	77530296	A08	44787436	44890511	96919	+-
A08	80673562	80873562	A08	80673562	80873562	A08	41360347	41553157	192096	+-
A08	80748422	80948422	A08	80748422	80948422	A08	41285472	41485634	199815	+-
A08	80846470	81046470	A08	80846470	81046470	A08	41179121	41387477	199775	+-
A08	80875816	81075816	A08	80875816	81075816	A08	41149773	41358090	199819	+-
A08	81567275	81767275	A08	81578136	81767275	A08	40557753	40718468	159273	+-
A09	12834200	13034200	A09	12834200	13034200	A09	74106644	74306749	199815	+-
A09	3774124	3974124	A09	3774124	3974124	A09	83392105	83635868	198856	+-
A09	3944266	4144266	A09	3944266	4144266	A09	83221897	83421964	199905	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	59986104	60186104	A09	59986104	60186104	A09	21923260	22123446	199951	+-
A09	60080691	60280691	A09	60080691	60280691	A09	21828620	22028722	199923	+-
A09	60109496	60309496	A09	60109496	60309496	A09	21799774	21999900	199917	+-
A09	60131639	60331639	A09	60131639	60331639	A09	21777629	21977747	199917	+-
A09	63326152	63526152	A09	63326152	63526152	A09	18591738	18785472	192602	+-
A09	7064907	7264907	A09	7064907	7264907	A09	80049275	80249355	199877	+-
A09	9166006	9366006	A09	9166006	9366006	A09	77947164	78147212	198039	+-
A10	102169720	102369720	A10	102169720	102369720	A10	105409464	105609620	199880	++
A10	102522929	102722929	A10	102522929	102722929	A10	105762857	105962943	199923	++
A10	108933154	109133154	A10	108960884	109133154	A10	112184888	112372374	158868	++
A10	109488166	109688166	A10	109488166	109688166	A10	112727817	112936677	186510	++
A10	111566307	111766307	A10	111566307	111766307	A10	114840227	115040279	199949	++
A10	111829523	112029523	A10	111829523	112029523	A10	115103537	115303673	199897	++
A10	113854917	114054917	A10	113854917	114054917	A10	117135664	117399615	199204	++
A10	113854917	114054917	A10	113854917	114054917	A10	117135664	117399615	199204	++
A10	113854917	114054917	A10	113854917	114054917	A10	117135664	117399615	199204	++
A10	113854917	114054917	A10	113854917	114054917	A10	117135664	117399615	199204	++
A10	2037797	2237797	A10	2037797	2237797	A10	2453427	2653617	199865	++
A10	67146166	67346166	A10	67254611	67346166	A10	70162352	70253936	91548	++
A10	76988079	77188079	A10	76988079	77188079	A10	80204886	80404977	199890	++
A10	77049623	77249623	A10	77049623	77249623	A10	80266465	80466537	199915	++
A10	77131559	77331559	A10	77131559	77331559	A10	80348434	80548576	199919	++
A10	77131559	77331559	A10	77131559	77331559	A10	80348434	80548576	199919	++
A10	77131559	77331559	A10	77131559	77331559	A10	80348434	80548576	199919	++
A10	77131559	77331559	A10	77131559	77331559	A10	80348434	80548576	199919	++
A10	77177938	77377938	A10	77177938	77377938	A10	80394836	80594960	199964	++
A10	93089061	93289061	A10	93089061	93289061	A10	96436692	96636769	199971	++
A11	119792452	119992452	A11	119792452	119992452	A11	120588727	120787074	190840	++
A11	77417151	77617151	A11	77417151	77617151	A11	76899499	77099685	199735	++
