At_chr	At_start	At_end	Dt_chr	Dt_start	Dt_end	At_seqLen	Dt_seqLen
HC04_A01	0	1000000	HC04_D01	0	1000000	63258	61305
HC04_A01	0	1000000	HC04_D08	18000000	19000000	5182	5179
HC04_A01	0	1000000	HC04_D10	0	1000000	16360	15727
HC04_A01	1000000	2000000	HC04_D01	64000000	65000000	478741	476473
HC04_A01	1000000	2000000	HC04_D08	18000000	19000000	5248	5203
HC04_A01	10000000	11000000	HC04_D01	56000000	57000000	549010	517297
HC04_A01	10000000	11000000	HC04_D01	57000000	58000000	64270	69461
HC04_A01	102000000	103000000	HC04_D08	70000000	71000000	7120	6206
HC04_A01	105000000	106000000	HC04_D09	4000000	5000000	171625	168498
HC04_A01	109000000	110000000	HC04_D01	7000000	8000000	323978	332697
HC04_A01	109000000	110000000	HC04_D01	8000000	9000000	170733	188905
HC04_A01	11000000	12000000	HC04_D01	55000000	56000000	157597	145456
HC04_A01	11000000	12000000	HC04_D01	56000000	57000000	175623	188120
HC04_A01	11000000	12000000	HC04_D03	53000000	54000000	13634	14951
HC04_A01	11000000	12000000	HC04_D08	18000000	19000000	9847	5122
HC04_A01	110000000	111000000	HC04_D01	6000000	7000000	196213	203595
HC04_A01	110000000	111000000	HC04_D01	7000000	8000000	258789	271111
HC04_A01	110000000	111000000	HC04_D02	10000000	11000000	9606	9596
HC04_A01	110000000	111000000	HC04_D05	2000000	3000000	9601	9597
HC04_A01	110000000	111000000	HC04_D09	7000000	8000000	9277	9513
HC04_A01	111000000	112000000	HC04_D01	6000000	7000000	492809	472739
HC04_A01	111000000	112000000	HC04_D05	28000000	29000000	5107	5426
HC04_A01	112000000	113000000	HC04_D01	5000000	6000000	541251	481419
HC04_A01	112000000	113000000	HC04_D01	6000000	7000000	45010	26763
HC04_A01	113000000	114000000	HC04_D01	2000000	3000000	10027	10473
HC04_A01	113000000	114000000	HC04_D01	4000000	5000000	240914	235238
HC04_A01	113000000	114000000	HC04_D01	5000000	6000000	245753	207398
HC04_A01	115000000	116000000	HC04_D01	3000000	4000000	525367	486589
HC04_A01	116000000	117000000	HC04_D01	2000000	3000000	416089	430667
HC04_A01	116000000	117000000	HC04_D01	3000000	4000000	70403	63293
HC04_A01	117000000	118000000	HC04_D01	1000000	2000000	396536	388274
HC04_A01	117000000	118000000	HC04_D01	2000000	3000000	326601	317075
HC04_A01	117000000	118000000	HC04_D02	70000000	71000000	12597	12744
HC04_A01	118000000	119000000	HC04_D01	0	1000000	413210	425166
HC04_A01	118000000	119000000	HC04_D01	1000000	2000000	494626	475456
HC04_A01	118000000	119000000	HC04_D04	48000000	49000000	6881	6504
HC04_A01	118000000	119000000	HC04_D05	3000000	4000000	6894	6237
HC04_A01	118000000	119000000	HC04_D06	28000000	29000000	8756	9077
HC04_A01	12000000	13000000	HC04_D01	54000000	55000000	179037	189809
HC04_A01	12000000	13000000	HC04_D01	55000000	56000000	467691	436125
HC04_A01	12000000	13000000	HC04_D03	50000000	51000000	12244	20700
HC04_A01	12000000	13000000	HC04_D07	28000000	29000000	22465	20389
HC04_A01	12000000	13000000	HC04_D10	58000000	59000000	20084	8490
HC04_A01	13000000	14000000	HC04_D01	54000000	55000000	436813	437967
HC04_A01	14000000	15000000	HC04_D01	54000000	55000000	164378	189963
HC04_A01	16000000	17000000	HC04_D01	52000000	53000000	326606	328573
HC04_A01	16000000	17000000	HC04_D02	6000000	7000000	12133	10979
HC04_A01	16000000	17000000	HC04_D05	58000000	59000000	11677	10057
HC04_A01	16000000	17000000	HC04_D07	3000000	4000000	32427	28010
HC04_A01	16000000	17000000	HC04_D07	58000000	59000000	12132	10829
HC04_A01	16000000	17000000	HC04_D13	58000000	59000000	12120	13727
HC04_A01	17000000	18000000	HC04_D01	52000000	53000000	122749	129376
HC04_A01	18000000	19000000	HC04_D01	50000000	51000000	13232	13222
HC04_A01	19000000	20000000	HC04_D01	50000000	51000000	613496	569453
HC04_A01	2000000	3000000	HC04_D01	63000000	64000000	561747	593534
HC04_A01	2000000	3000000	HC04_D01	64000000	65000000	406081	418578
HC04_A01	2000000	3000000	HC04_D10	17000000	18000000	5438	5784
HC04_A01	20000000	21000000	HC04_D01	49000000	50000000	453761	403353
HC04_A01	20000000	21000000	HC04_D01	50000000	51000000	210298	193902
HC04_A01	20000000	21000000	HC04_D05	56000000	57000000	34478	28822
HC04_A01	21000000	22000000	HC04_D01	48000000	49000000	211237	209140
HC04_A01	21000000	22000000	HC04_D01	49000000	50000000	222189	210152
HC04_A01	21000000	22000000	HC04_D06	56000000	57000000	9189	7020
HC04_A01	21000000	22000000	HC04_D12	31000000	32000000	13887	12386
HC04_A01	23000000	24000000	HC04_D01	47000000	48000000	367049	338777
HC04_A01	23000000	24000000	HC04_D01	48000000	49000000	47083	33060
HC04_A01	25000000	26000000	HC04_D01	46000000	47000000	378704	343511
HC04_A01	26000000	27000000	HC04_D01	46000000	47000000	235829	239159
HC04_A01	26000000	27000000	HC04_D01	54000000	55000000	24391	20315
HC04_A01	26000000	27000000	HC04_D08	51000000	52000000	15244	6557
HC04_A01	27000000	28000000	HC04_D05	30000000	31000000	11632	10332
HC04_A01	28000000	29000000	HC04_D07	23000000	24000000	14978	9758
HC04_A01	28000000	29000000	HC04_D09	30000000	31000000	17236	17089
HC04_A01	3000000	4000000	HC04_D01	62000000	63000000	493574	430049
HC04_A01	3000000	4000000	HC04_D01	63000000	64000000	263879	246832
HC04_A01	3000000	4000000	HC04_D07	51000000	52000000	5418	5442
HC04_A01	4000000	5000000	HC04_D01	61000000	62000000	269842	267564
HC04_A01	4000000	5000000	HC04_D01	62000000	63000000	141784	139605
HC04_A01	4000000	5000000	HC04_D03	1000000	2000000	8212	5176
HC04_A01	4000000	5000000	HC04_D04	48000000	49000000	7064	6504
HC04_A01	4000000	5000000	HC04_D05	3000000	4000000	7077	6237
HC04_A01	4000000	5000000	HC04_D10	65000000	66000000	7477	5155
HC04_A01	4000000	5000000	HC04_D12	55000000	56000000	9593	18418
HC04_A01	41000000	42000000	HC04_D01	37000000	38000000	258433	218875
HC04_A01	41000000	42000000	HC04_D02	5000000	6000000	8104	5591
HC04_A01	41000000	42000000	HC04_D03	10000000	11000000	8136	8014
HC04_A01	41000000	42000000	HC04_D03	11000000	12000000	6627	7287
HC04_A01	41000000	42000000	HC04_D03	13000000	14000000	9083	9037
HC04_A01	41000000	42000000	HC04_D05	21000000	22000000	5962	6676
HC04_A01	41000000	42000000	HC04_D05	7000000	8000000	9083	9052
HC04_A01	41000000	42000000	HC04_D06	59000000	60000000	9120	14371
HC04_A01	41000000	42000000	HC04_D08	15000000	16000000	8141	8770
HC04_A01	41000000	42000000	HC04_D08	16000000	17000000	5962	6688
HC04_A01	41000000	42000000	HC04_D09	38000000	39000000	8130	8013
HC04_A01	41000000	42000000	HC04_D12	41000000	42000000	8104	7585
HC04_A01	44000000	45000000	HC04_D01	37000000	38000000	45947	62335
HC04_A01	45000000	46000000	HC04_D01	37000000	38000000	109542	126515
HC04_A01	46000000	47000000	HC04_D01	36000000	37000000	28559	25884
HC04_A01	46000000	47000000	HC04_D01	37000000	38000000	32286	31628
HC04_A01	47000000	48000000	HC04_D01	36000000	37000000	126986	107231
HC04_A01	47000000	48000000	HC04_D06	22000000	23000000	7633	12127
HC04_A01	48000000	49000000	HC04_D01	36000000	37000000	101748	97311
HC04_A01	48000000	49000000	HC04_D01	37000000	38000000	5167	9309
HC04_A01	49000000	50000000	HC04_D01	36000000	37000000	339903	325377
HC04_A01	49000000	50000000	HC04_D05	29000000	30000000	26088	27778
HC04_A01	49000000	50000000	HC04_D07	30000000	31000000	19390	12625
HC04_A01	49000000	50000000	HC04_D08	55000000	56000000	18635	7412
HC04_A01	5000000	6000000	HC04_D01	60000000	61000000	296881	298088
HC04_A01	5000000	6000000	HC04_D01	61000000	62000000	125764	122057
HC04_A01	5000000	6000000	HC04_D02	6000000	7000000	10604	11431
HC04_A01	5000000	6000000	HC04_D03	48000000	49000000	5265	5220
HC04_A01	5000000	6000000	HC04_D05	58000000	59000000	9796	9616
HC04_A01	5000000	6000000	HC04_D07	3000000	4000000	27524	32278
HC04_A01	5000000	6000000	HC04_D07	58000000	59000000	10724	12286
HC04_A01	5000000	6000000	HC04_D13	58000000	59000000	10719	15539
HC04_A01	50000000	51000000	HC04_D01	35000000	36000000	266372	232748
HC04_A01	51000000	52000000	HC04_D01	35000000	36000000	130299	133310
HC04_A01	52000000	53000000	HC04_D01	35000000	36000000	6367	9468
