AtChr	AtStart	AtEnd	DtChr	DtStart	DtEnd	cumSeq	AtIS_count	DtIS_count
HC04_A01	118000000	119000000	HC04_D01	1000000	2000000	420582	18	5
HC04_A01	116000000	117000000	HC04_D01	2000000	3000000	455767	31	16
HC04_A01	115000000	116000000	HC04_D01	3000000	4000000	530267	30	4
HC04_A01	114000000	115000000	HC04_D01	4000000	5000000	515380	0	31
HC04_A01	112000000	113000000	HC04_D01	5000000	6000000	535317	25	31
HC04_A01	111000000	112000000	HC04_D01	6000000	7000000	525511	12	35
HC04_A01	109000000	110000000	HC04_D01	7000000	8000000	288489	2	35
HC04_A01	108000000	109000000	HC04_D01	8000000	9000000	257270	0	4
HC04_A01	107000000	108000000	HC04_D01	9000000	10000000	523678	0	0
HC04_A01	106000000	107000000	HC04_D01	10000000	11000000	310161	0	0
HC04_A01	104000000	105000000	HC04_D01	11000000	12000000	379158	21	0
HC04_A01	96000000	97000000	HC04_D01	12000000	13000000	331306	13	0
HC04_A01	98000000	99000000	HC04_D01	13000000	14000000	202979	13	0
HC04_A01	102000000	103000000	HC04_D01	14000000	15000000	337489	15	0
HC04_A01	103000000	104000000	HC04_D01	15000000	16000000	202899	21	0
HC04_A01	93000000	94000000	HC04_D01	16000000	17000000	458947	0	9
HC04_A01	79000000	80000000	HC04_D01	17000000	18000000	223757	1	14
HC04_A01	90000000	91000000	HC04_D01	18000000	19000000	155031	0	14
HC04_A01	83000000	84000000	HC04_D01	19000000	20000000	293034	0	13
HC04_A01	85000000	86000000	HC04_D01	20000000	21000000	180341	0	7
HC04_A01	88000000	89000000	HC04_D01	21000000	22000000	174270	0	9
HC04_A01	75000000	76000000	HC04_D01	22000000	23000000	309401	1	9
HC04_A01	73000000	74000000	HC04_D01	23000000	24000000	356163	1	9
HC04_A01	71000000	72000000	HC04_D01	24000000	25000000	119287	1	9
HC04_A01	64000000	65000000	HC04_D01	25000000	26000000	309998	1	9
HC04_A01	62000000	63000000	HC04_D01	27000000	28000000	100707	1	9
HC04_A01	56000000	57000000	HC04_D01	32000000	33000000	259340	1	9
HC04_A01	54000000	55000000	HC04_D01	33000000	34000000	174531	1	0
HC04_A01	53000000	54000000	HC04_D01	34000000	35000000	109453	1	0
HC04_A01	50000000	51000000	HC04_D01	35000000	36000000	278910	1	15
HC04_A01	49000000	50000000	HC04_D01	36000000	37000000	355755	1	8
HC04_A01	41000000	42000000	HC04_D01	37000000	38000000	263932	20	8
HC04_A01	42000000	43000000	HC04_D01	38000000	39000000	427864	0	0
HC04_A01	44000000	45000000	HC04_D01	39000000	40000000	286670	3	0
HC04_A01	40000000	41000000	HC04_D01	40000000	41000000	171630	0	0
HC04_A01	35000000	36000000	HC04_D01	41000000	42000000	158687	0	0
HC04_A01	33000000	34000000	HC04_D01	42000000	43000000	327636	2	0
HC04_A01	32000000	33000000	HC04_D01	43000000	44000000	211814	1	0
HC04_A01	28000000	29000000	HC04_D01	44000000	45000000	207303	4	0
HC04_A01	27000000	28000000	HC04_D01	45000000	46000000	212666	1	0
HC04_A01	25000000	26000000	HC04_D01	46000000	47000000	407705	1	30
HC04_A01	23000000	24000000	HC04_D01	47000000	48000000	388421	1	2
HC04_A01	22000000	23000000	HC04_D01	48000000	49000000	383261	0	2
HC04_A01	20000000	21000000	HC04_D01	49000000	50000000	427588	25	2
HC04_A01	19000000	20000000	HC04_D01	50000000	51000000	614320	21	8
HC04_A01	18000000	19000000	HC04_D01	51000000	52000000	489476	33	0
HC04_A01	16000000	17000000	HC04_D01	52000000	53000000	359147	3	1
HC04_A01	14000000	15000000	HC04_D01	53000000	54000000	419420	22	0
HC04_A01	13000000	14000000	HC04_D01	54000000	55000000	419123	2	17
HC04_A01	12000000	13000000	HC04_D01	55000000	56000000	509351	19	2
HC04_A01	10000000	11000000	HC04_D01	56000000	57000000	552326	32	7
HC04_A01	9000000	10000000	HC04_D01	57000000	58000000	437748	27	6
HC04_A01	8000000	9000000	HC04_D01	58000000	59000000	539970	33	31
HC04_A01	7000000	8000000	HC04_D01	59000000	60000000	621411	2	16
HC04_A01	5000000	6000000	HC04_D01	60000000	61000000	308550	25	29
HC04_A01	4000000	5000000	HC04_D01	61000000	62000000	263708	35	36
HC04_A01	3000000	4000000	HC04_D01	62000000	63000000	449615	30	25
HC04_A01	2000000	3000000	HC04_D01	63000000	64000000	473383	21	27
