seqnames	start	end	width	strand	pvalue	num.events
HC04_D01	91858	1867854	1775997	*	0	250
HC04_D01	3375185	4231849	856665	*	0.000492187500000019	92
HC04_D01	4951182	5676513	725332	*	0	83
HC04_D01	7052511	7252510	200000	*	0.044466796875	15
HC04_D01	15851828	16708492	856665	*	0	123
HC04_D01	16902493	18021823	1119331	*	0.00320312499999997	112
HC04_D01	23469147	23800479	331333	*	0.000560546874999956	51
HC04_D01	28591137	31155132	2563996	*	0	405
HC04_D01	37390454	38115785	725332	*	9.76562500000222e-05	82
HC04_D01	48422433	49016431	593999	*	0.000587890624999976	67
HC04_D01	57221750	57684415	462666	*	3.51562499999458e-05	61
HC04_D01	59454412	63988403	4533992	*	0	917
HC04_D02	322864	5175456	4852593	*	0	1348
HC04_D02	5702424	7356358	1653935	*	0	181
HC04_D02	11081985	12154345	1072361	*	0	148
HC04_D02	21404925	22768072	1363148	*	0	503
HC04_D02	29546962	30328536	781575	*	0	157
HC04_D02	34635736	36289670	1653935	*	0	242
HC04_D02	61969719	63914440	1944722	*	0	292
HC04_D02	72438053	73074232	636180	*	3.51562499999458e-05	72
HC04_D03	71931	4442444	4370514	*	0	542
HC04_D03	4461946	6198451	1736506	*	0	138
HC04_D03	6437453	7076454	639002	*	0.00477734375000005	51
HC04_D03	7754458	8393458	639001	*	3.51562499999458e-05	56
HC04_D03	31460541	31880041	419501	*	0.000740234375000037	44
HC04_D03	39801570	41318574	1517005	*	0	215
HC04_D03	45289090	45928090	639001	*	4.29687499999831e-05	53
HC04_D03	49898606	51196109	1297504	*	4.4921875000048e-05	95
HC04_D03	51654612	53720367	2065756	*	0.00016601562499996	156
HC04_D03	54069120	54886762	817643	*	0	96
HC04_D04	141791	1409818	1268028	*	0	145
HC04_D04	1565829	2952526	1386698	*	0	155
HC04_D04	29453242	31314619	1861378	*	0	220
HC04_D04	33132007	35349394	2217388	*	0	848
HC04_D04	44049633	44368302	318670	*	0.002173828125	43
HC04_D04	49983125	50657804	674680	*	0.000154296875000015	65
HC04_D04	50695144	51488492	793349	*	0.00668359375000005	69
HC04_D04	54255240	56353956	2098717	*	0	277
HC04_D04	56984646	57896664	912019	*	0	108
HC04_D04	58527354	59439372	912019	*	0	102
HC04_D05	776551	1378074	601524	*	1.95312499995381e-06	80
HC04_D05	17239047	17974411	735365	*	6.24999999999654e-05	89
